number,state,created,closed,type,component_v1,root_cause_v1,severity_v1,confidence_v1,refined,component_v2,root_cause_v2,severity_v2,confidence_v2,fix_reason,note
250,CLOSED,2026-02-20,2026-02-20,security-hardening,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Enforce HTTPS in Dockerfile curl commands (SonarCloud docker:S6506)"
252,CLOSED,2026-02-20,2026-02-21,test,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Increase new-code coverage to 80% for SonarCloud quality gate"
270,CLOSED,2026-02-21,2026-02-21,defect,config-deploy,config-error,degraded,med,no,config-deploy,config-error,degraded,,,"dependency_track DB not created on existing postgres volume; init scripts skipped, DT restart loop"
271,CLOSED,2026-02-23,2026-03-07,automated-report,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Bot-filed weekly container scan: 2 CRITICAL/HIGH backend findings with fixes"
276,CLOSED,2026-02-24,2026-03-08,security-hardening,sbom-scanning,upstream-dependency,none,high,no,sbom-scanning,upstream-dependency,none,,,"Weekly scan: 2 CVEs in bundled grype/trivy binaries; low practical risk, await upstream patches"
280,CLOSED,2026-02-25,2026-02-26,feature,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Request to publish Docker images on Docker Hub in addition to ghcr.io"
282,CLOSED,2026-02-26,2026-02-26,test,format-terraform-conda,n/a,none,high,no,format-terraform-conda,n/a,none,,,"Comprehensive conda spec conformance test coverage (.conda v2, repodata fidelity)"
296,CLOSED,2026-02-27,2026-02-28,defect,storage-cas,config-error,wrong-result,med,no,storage-cas,config-error,wrong-result,,,"STORAGE_BACKEND=s3 half works; downloads/scans read local filesystem, admin shows filesystem"
297,CLOSED,2026-02-27,2026-02-28,defect,format-maven,error-handling,degraded,med,no,format-maven,error-handling,degraded,,,"Re-uploading a SNAPSHOT throws 500; INSERT rows_affected=0, likely S3 upload/insert failure"
303,CLOSED,2026-02-28,2026-02-28,test,format-maven,n/a,none,high,no,format-maven,n/a,none,,,"Add E2E tests for Maven SNAPSHOT re-upload and S3 storage scanner resolution"
310,CLOSED,2026-02-28,2026-02-28,enhancement,storage-cas,n/a,none,high,no,storage-cas,n/a,none,,,"Add Azure RBAC auth (managed identity, service principal) for Blob Storage instead of only Shared Key"
315,CLOSED,2026-02-28,2026-02-28,defect,format-oci-docker,path-normalization,degraded,med,yes,format-oci-docker,error-handling,degraded,med,"PR316 oci_v2.rs: realm URL hardcoded http:// ignoring X-Forwarded-Proto/Host; URL construction bug not path-norm","docker login 401 Unauthorized; /v2 catalog returns NAME_UNKNOWN invalid path behind proxy"
320,CLOSED,2026-03-01,2026-03-03,defect,format-maven,auth-logic,wrong-result,med,yes,auth-rbac-sso,auth-logic,wrong-result,high,"PR338 middleware/auth.rs: Basic auth not recognized by visibility middleware; auth subsystem not maven","Uploads to private (is_public=false) Maven repo return 404; switching to public works"
321,CLOSED,2026-03-01,2026-03-03,defect,format-maven,db-schema-query,wrong-result,med,yes,format-maven,db-schema-query,wrong-result,med,"PR339: UNIQUE(repo,path) includes soft-deleted but dup check filters is_deleted=false; query logic, maven SNAPSHOT","SNAPSHOT re-upload blocked by select where isDeleted=false; soft-deleted row can never be reused"
322,CLOSED,2026-03-01,2026-03-01,defect,format-oci-docker,path-normalization,degraded,med,yes,config-deploy,config-error,degraded,med,"PR326 only edits docker/Caddyfile: missing /v2 proxy rules + 308 redirect; deployment config not backend code","docker login 401 via reverse proxy; /v2 (no trailing slash) returns 401 while direct backend /v2/ works"
333,CLOSED,2026-03-02,2026-03-03,defect,auth-rbac-sso,auth-logic,security,high,yes,auth-rbac-sso,auth-logic,security,high,"PR338 middleware/auth.rs: private repos leaked to anonymous via packages/artifacts; missing visibility filter","Repositories API returns private repos to unauthenticated users; missing filter"
340,CLOSED,2026-03-03,2026-03-07,feature,storage-cas,n/a,none,high,no,storage-cas,n/a,none,,,"Add GCS ADC/Workload Identity auth path so key files aren't required on GKE"
341,CLOSED,2026-03-03,2026-03-03,defect,format-cargo,path-normalization,wrong-result,high,yes,format-cargo,path-normalization,wrong-result,high,"PR342 cargo.rs: wrong index/ prefix added to upstream sparse-index URL; path construction","Cargo sparse index proxy adds wrong index/ prefix to upstream URLs; no index/download host split"
343,CLOSED,2026-03-03,2026-03-03,defect,storage-cas,error-handling,outage-oom,med,yes,storage-cas,upstream-dependency,outage-oom,med,"PR348 main.rs: rustls 0.23 needs explicit CryptoProvider for rust-s3 STS; transitive dep behavior, panic at startup","Backend panics on startup with S3 backend using IRSA/ADC authentication"
344,CLOSED,2026-03-03,2026-03-04,refactor,virtual-repo,n/a,none,high,no,virtual-repo,n/a,none,,,"Deduplicate inline virtual member SQL in npm/pypi handlers via shared fetch_virtual_members"
345,CLOSED,2026-03-03,2026-03-07,refactor,virtual-repo,n/a,none,high,no,virtual-repo,n/a,none,,,"Add shared resolve_virtual_metadata helper to unify per-handler virtual member iteration"
346,CLOSED,2026-03-03,2026-04-12,enhancement,virtual-repo,n/a,none,high,no,virtual-repo,n/a,none,,,"Add virtual repo merging for hex list_names/list_versions (needs protobuf decode/re-encode)"
360,CLOSED,2026-03-04,2026-03-05,automated-report,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Bot-filed nightly E2E test failure notification"
361,CLOSED,2026-03-04,2026-03-23,defect,format-maven,path-normalization,wrong-result,high,yes,format-maven,path-normalization,wrong-result,high,"PR362/430 maven.rs: parse_metadata_path mismatched version-level GAV paths; maven path handling primary","Maven deploy with paths fails; uploaded jar lands at root not given GAV path"
363,CLOSED,2026-03-04,2026-03-04,defect,format-maven,db-schema-query,wrong-result,med,yes,format-maven,validation-input,wrong-result,med,"PR364 repositories.rs: query serde rename only accepted ?type, ?repo_type ignored; param deserialization not db-query","Staging section shows all repos instead of only promotable staging repos"
368,CLOSED,2026-03-05,2026-03-05,defect,config-deploy,config-error,degraded,med,yes,config-deploy,config-error,degraded,med,"PR394 only edits README.md: wrong quickstart commands; deployment/config doc fix","Quick start broken: wrong Caddyfile curl URL, Dockerfile path mismatch, dtrack DB schema fail"
378,CLOSED,2026-03-05,2026-03-05,question,other,n/a,none,high,no,other,n/a,none,,,"Reporter nudge that security advisories with PoCs/fix PRs are awaiting triage"
380,CLOSED,2026-03-05,2026-03-05,defect,storage-cas,path-normalization,security,high,yes,storage-cas,path-normalization,security,high,"PR387 filesystem.rs: key_to_path path traversal, sanitize keys; storage path handling","Path traversal in FilesystemStorage key_to_path; unsanitized keys allow arbitrary file r/w/del"
381,CLOSED,2026-03-05,2026-03-05,defect,edge-replication,auth-logic,security,high,yes,edge-replication,auth-logic,security,high,"PR388 peers.rs: /peers/identity exposed peer API key; restrict to admin; authz gap","/peers/identity returns peer api_key in plaintext to any authenticated user, no admin guard"
382,CLOSED,2026-03-05,2026-03-05,defect,edge-replication,auth-logic,security,high,yes,edge-replication,auth-logic,security,high,"PR389 peers.rs: unauth peer announce/heartbeat allowed spoofing; require admin; authz gap","announce_peer/heartbeat lack ownership proof; attacker can overwrite peer endpoint/api_key"
383,CLOSED,2026-03-05,2026-03-05,defect,auth-rbac-sso,auth-logic,security,high,yes,auth-rbac-sso,auth-logic,security,high,"PR390 grpc/auth_interceptor.rs: gRPC had authn but no authz; add admin check","gRPC interceptor does authn only, no authz; any user can call admin ops like delete_sbom"
384,CLOSED,2026-03-05,2026-03-05,defect,auth-rbac-sso,auth-logic,security,high,yes,auth-rbac-sso,auth-logic,security,high,"PR391 main.rs: admin password file world-readable; set mode 0600; admin provisioning security","Admin password file written world-readable (0o644) instead of 0o600"
385,CLOSED,2026-03-05,2026-03-05,defect,auth-rbac-sso,auth-logic,security,high,yes,auth-rbac-sso,auth-logic,security,high,"PR392 auth_service.rs: bcrypt timing side-channel fix; matches current","Timing side-channel in API token validation: revocation early-return before bcrypt"
386,CLOSED,2026-03-05,2026-03-05,defect,auth-rbac-sso,auth-logic,security,high,yes,auth-rbac-sso,auth-logic,security,high,"PR393 auth.rs handlers wire AuditService; auth audit gap, matches current","AuditService exists but auth handlers never log login/logout/token events; audit gap"
395,CLOSED,2026-03-06,2026-03-11,question,config-deploy,config-error,none,high,no,config-deploy,config-error,none,,,"Podman setup: backend reports trivy/meili/openscap/dtrack unhealthy; user misconfig, not a bug"
398,CLOSED,2026-03-07,2026-03-07,automated-report,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Bot-filed nightly E2E test failure notification"
403,CLOSED,2026-03-08,2026-04-15,security-hardening,sbom-scanning,upstream-dependency,security,high,no,sbom-scanning,upstream-dependency,security,,,"Go stdlib CVEs in bundled trivy/grype binaries; awaiting upstream rebuilds"
408,CLOSED,2026-03-09,2026-03-20,automated-report,ci-cd-release,n/a,none,high,no,ci-cd-release,n/a,none,,,"Weekly Trivy container scan reporting 20 CRITICAL/HIGH findings with fixes"
414,CLOSED,2026-03-11,2026-03-11,defect,format-maven,format-compat,wrong-result,high,yes,format-maven,format-compat,wrong-result,high,"PR417 maven.rs SNAPSHOT->timestamp checksum resolution; format-compat","SNAPSHOT checksum requests return XML/HTML instead of plain hash; lookup path mismatch"
415,CLOSED,2026-03-11,2026-03-11,defect,format-maven,design-gap-other,degraded,high,yes,format-maven,design-gap-other,degraded,high,"PR418 maven.rs GAV grouping of POM+JAR; design gap, matches current","Maven POM+JAR uploaded under same GAV not grouped as single package in UI"
427,CLOSED,2026-03-12,2026-03-16,defect,format-maven,format-compat,wrong-result,med,no,format-maven,format-compat,wrong-result,,,"Maven pull-through cache fails to serve plugin POM/JAR from remote repo"
428,CLOSED,2026-03-12,2026-03-14,question,storage-cas,n/a,none,high,no,storage-cas,n/a,none,,,"User asks whether per-repo storage backends (S3 vs local filesystem) are possible"
437,CLOSED,2026-03-16,2026-04-13,enhancement,ui-web,n/a,none,high,no,ui-web,n/a,none,,,"Want UI editing of existing repo format and remote upstream URL instead of delete/recreate"
443,CLOSED,2026-03-17,2026-03-18,feature,auth-rbac-sso,n/a,none,high,no,auth-rbac-sso,n/a,none,,,"Request to keep local/admin login usable when SSO is enabled to avoid lockout"
450,CLOSED,2026-03-18,2026-03-18,defect,virtual-repo,ui-bug,degraded,med,yes,virtual-repo,design-gap-other,degraded,med,"PR455 repositories.rs DTO field mismatch (items vs members) + missing member_repos; backend contract gap not ui-bug","Maven virtual repo members added but UI shows none configured; resolution not working"
451,CLOSED,2026-03-18,2026-03-19,feature,proxy-remote,n/a,none,high,no,proxy-remote,n/a,none,,,"Request to add optional username/password/token auth for remote pull-through upstream repos"
452,CLOSED,2026-03-18,2026-03-19,defect,auth-rbac-sso,config-error,degraded,low,yes,auth-rbac-sso,config-error,degraded,med,"PR454 ldap_service.rs custom CA support; LDAPS cert trust, config-error","LDAPS to Active Directory fails with SSL error; backend may not trust private CA cert"
453,CLOSED,2026-03-18,2026-03-19,defect,auth-rbac-sso,path-normalization,degraded,med,yes,auth-rbac-sso,path-normalization,degraded,high,"PR454 sso login_url missing /api/v1 prefix; path-normalization","Keycloak OIDC 'Sign in' redirects to 404 at /auth/sso/oidc/{id}/login"
456,CLOSED,2026-03-18,2026-03-19,defect,format-oci-docker,auth-logic,degraded,med,yes,format-oci-docker,auth-logic,degraded,high,"PR457 oci_v2.rs accept Basic Auth on /v2; auth-logic","curl -u admin to /v2 base endpoint returns UNAUTHORIZED though docker login/push/pull work"
458,CLOSED,2026-03-18,2026-03-20,feature,proxy-remote,n/a,none,high,no,proxy-remote,n/a,none,,,"Request to honor HTTPS_PROXY env var for remote repo upstream fetches"
461,CLOSED,2026-03-19,2026-04-01,defect,virtual-repo,design-gap-other,wrong-result,high,no,virtual-repo,design-gap-other,wrong-result,,,"Maven virtual repo members not saved on create, UI doesn't list members, private virtual repo 401s"
462,CLOSED,2026-03-19,2026-04-24,feature,search-indexing,n/a,none,high,no,search-indexing,n/a,none,,,"Request to support OpenSearch as search backend for HA (Meilisearch HA is Enterprise-only)"
463,CLOSED,2026-03-19,2026-03-20,question,config-deploy,n/a,none,high,no,config-deploy,n/a,none,,,"User asks how to deploy backend in High-Availability setup; docs/guidance request"
467,CLOSED,2026-03-19,2026-03-20,question,storage-cas,n/a,none,high,no,storage-cas,n/a,none,,,"User asks how GC_RETENTION_DAYS interacts with lifecycle soft-delete and GC"
472,CLOSED,2026-03-20,2026-04-12,feature,sbom-scanning,n/a,none,high,no,sbom-scanning,n/a,none,,,"Request for configurable quarantine period for newly published upstream artifacts before consumption"
476,CLOSED,2026-03-20,2026-03-20,defect,config-deploy,config-error,degraded,high,yes,config-deploy,config-error,degraded,med,"PR486/490 Dockerfile/compose /shared volume ownership; deploy config","dtrack-init (UID 1001) can't write API key to root-owned shared_config volume; backend hangs"
477,CLOSED,2026-03-20,2026-03-20,defect,config-deploy,build-ci,degraded,high,no,config-deploy,build-ci,degraded,,,"init-pg-ssl.sh uses bash shebang/bashisms; fails on postgres:16-alpine so PG starts without SSL"
483,CLOSED,2026-03-20,2026-03-20,defect,proxy-remote,design-gap-other,degraded,high,yes,proxy-remote,design-gap-other,degraded,high,"PR488 oci_v2.rs missing proxy support for remote repos; design gap","Remote repos never fetch upstream for Docker/PyPI; upstream_url dropped, no outbound requests"
487,CLOSED,2026-03-20,2026-03-20,feature,config-deploy,n/a,none,high,no,config-deploy,n/a,none,,,"Add configurable MAX_UPLOAD_SIZE env var replacing hardcoded 512MB body limit"
491,CLOSED,2026-03-20,2026-03-20,defect,format-generic,inv-lifecycle-gc,data-loss,high,yes,format-generic,inv-lifecycle-gc,data-loss,med,"PR492/493 artifact_service.rs revive soft-deleted on re-upload; lifecycle","Generic re-upload after delete returns 200 but soft-deleted row blocks recreation; artifact missing"
495,CLOSED,2026-03-20,2026-03-20,defect,format-pypi,format-compat,degraded,high,yes,format-pypi,format-compat,degraded,med,"PR497 pypi.rs rewrite simple-index URLs; format handling, matches current","PyPI remote simple index keeps upstream files.pythonhosted.org URLs; files bypass AK caching"
496,CLOSED,2026-03-20,2026-04-12,feature,api-routing,n/a,none,high,no,api-routing,n/a,none,,,"Add GET /api/v1/system/config endpoint exposing public runtime config to UI/clients"
502,CLOSED,2026-03-21,2026-03-24,enhancement,docs,n/a,none,high,no,docs,n/a,none,,,"Request for Windows Server install docs and CLI auto-provisioning/Windows Service support"
503,CLOSED,2026-03-21,2026-03-22,defect,auth-rbac-sso,auth-logic,security,high,no,auth-rbac-sso,auth-logic,security,,,"JWT alg=none and invalid signatures accepted; full authentication bypass"
504,CLOSED,2026-03-21,2026-03-22,defect,auth-rbac-sso,auth-logic,security,high,yes,auth-rbac-sso,auth-logic,security,high,"PR511 auth.rs middleware enforce can_access_repo; auth-logic","API token repo scope (allowed_repo_ids) not enforced; scoped token can access other repos"
505,CLOSED,2026-03-21,2026-03-22,defect,auth-rbac-sso,auth-logic,security,high,no,auth-rbac-sso,auth-logic,security,,,"Sessions/JWTs not invalidated after password change; old password still works"
506,CLOSED,2026-03-21,2026-03-22,defect,auth-rbac-sso,auth-logic,security,high,no,auth-rbac-sso,auth-logic,security,,,"Default admin:admin credentials accepted in production config"
507,CLOSED,2026-03-21,2026-03-22,defect,storage-cas,data-integrity,security,high,no,storage-cas,data-integrity,security,,,"Upload with wrong declared SHA-256 not rejected; checksum integrity not enforced"
508,CLOSED,2026-03-21,2026-03-22,defect,auth-rbac-sso,auth-logic,security,high,yes,auth-rbac-sso,auth-logic,security,high,"PR511 auth.rs middleware require auth on writes (401 vs 404); auth-logic","Unauthenticated format upload endpoints return 404 instead of 401; auth middleware not applied to all routes"
